Region,Product,Month,Revenue,GrowthRate
North,A,2024-01-31,12270,0.22
North,A,2024-02-29,10390,0.19
North,A,2024-03-31,16964,0.14
North,A,2024-04-30,11265,-0.04
North,A,2024-05-31,9426,0.08
North,A,2024-06-30,16636,0.14
North,A,2024-07-31,13322,-0.09
North,A,2024-08-31,5769,0.19
North,A,2024-09-30,11949,-0.1
North,A,2024-10-31,10051,-0.03
North,A,2024-11-30,9555,0.14
North,A,2024-12-31,11396,0.07
North,B,2024-01-31,13666,0.14
North,B,2024-02-29,12849,-0.08
North,B,2024-03-31,7747,0.05
North,B,2024-04-30,5189,-0.06
North,B,2024-05-31,8005,-0.02
North,B,2024-06-30,12734,0.29
North,B,2024-07-31,6528,-0.08
North,B,2024-08-31,8890,0.17
North,B,2024-09-30,16080,-0.07
North,B,2024-10-31,15627,0.28
North,B,2024-11-30,15253,0.22
North,B,2024-12-31,16016,-0.09
North,C,2024-01-31,12041,0.17
North,C,2024-02-29,10486,0.17
North,C,2024-03-31,15748,0.23
North,C,2024-04-30,13226,0.26
North,C,2024-05-31,15147,-0.03
North,C,2024-06-30,12555,0.02
North,C,2024-07-31,16653,-0.02
North,C,2024-08-31,8843,-0.03
North,C,2024-09-30,17990,0.24
North,C,2024-10-31,10675,0.28
North,C,2024-11-30,15173,0.27
North,C,2024-12-31,18103,0.03
North,D,2024-01-31,12629,-0.02
North,D,2024-02-29,6016,0.28
North,D,2024-03-31,12892,0.06
North,D,2024-04-30,13529,0.12
North,D,2024-05-31,9887,0.04
North,D,2024-06-30,9859,0.14
North,D,2024-07-31,13684,-0.04
North,D,2024-08-31,7062,-0.03
North,D,2024-09-30,13006,0.07
North,D,2024-10-31,18440,-0.02
North,D,2024-11-30,14687,-0.09
North,D,2024-12-31,10618,0.18
South,A,2024-01-31,18986,0.22
South,A,2024-02-29,17666,-0.07
South,A,2024-03-31,15470,0.16
South,A,2024-04-30,8099,0.25
South,A,2024-05-31,19151,0.08
South,A,2024-06-30,8104,-0.07
South,A,2024-07-31,7454,0.17
South,A,2024-08-31,13996,0.19
South,A,2024-09-30,19183,0.01
South,A,2024-10-31,14762,0.09
South,A,2024-11-30,19948,0.29
South,A,2024-12-31,15882,0.2
South,B,2024-01-31,12385,-0.01
South,B,2024-02-29,17685,0.1
South,B,2024-03-31,9488,0.18
South,B,2024-04-30,10977,-0.09
South,B,2024-05-31,6484,-0.02
South,B,2024-06-30,5863,0.15
South,B,2024-07-31,13755,0.13
South,B,2024-08-31,11019,0.26
South,B,2024-09-30,12574,0.14
South,B,2024-10-31,6678,0.2
South,B,2024-11-30,6059,0.28
South,B,2024-12-31,14914,0.18
South,C,2024-01-31,10915,0.27
South,C,2024-02-29,19892,0.02
South,C,2024-03-31,16252,0.25
South,C,2024-04-30,18339,-0.01
South,C,2024-05-31,14555,0.26
South,C,2024-06-30,10450,0.03
South,C,2024-07-31,15230,0.26
South,C,2024-08-31,16494,0.26
South,C,2024-09-30,18696,-0.01
South,C,2024-10-31,17221,-0.1
South,C,2024-11-30,18260,0.24
South,C,2024-12-31,12526,-0.03
South,D,2024-01-31,10530,0.07
South,D,2024-02-29,8748,0.18
South,D,2024-03-31,18545,0.04
South,D,2024-04-30,6998,-0.03
South,D,2024-05-31,16935,0.11
South,D,2024-06-30,8304,0.06
